model,teams,clip_id,clip_path,label_path,meta_path,kind,reason,start_sec,end_sec,latency_ms,prompt_tokens,completion_tokens,json_valid,scene_type,visible_score,visible_clock,confidence,error,raw_content
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__011,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__011.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__011.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__011.json,event,"ior_reh,ior_rec",304.524,317.524,1288.17,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__012,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__012.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__012.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__012.json,event,"ratio_re,ior_reh,ior_rec,ratio_rouo,ior_rouh,ior_rouc",327.565,340.565,1295.18,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__013,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__013.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__013.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__013.json,event,"ior_rouh,ior_rouc",365.482,378.482,1276.08,778,44,True,close-up,3-1,88',0.92,,"{
  ""scene_type"": ""close-up"",
  ""visible_score"": ""3-1"",
  ""visible_clock"": ""88'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__014,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__014.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__014.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__014.json,event,"ior_reh,ior_rec",390.689,403.689,1289.69,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__015,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__015.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__015.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__015.json,event,"ior_rouh,ior_rouc",446.583,459.583,1289.13,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__016,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__016.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__016.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__016.json,event,"ior_reh,ior_rec",470.038,483.038,1311.95,778,47,True,soccer_match,33 vs 6,N/A,0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""33 vs 6"",
  ""visible_clock"": ""N/A"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__017,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__017.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__017.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__017.json,event,"ior_reh,ior_rec,ior_rouh,ior_rouc",497.746,510.746,1288.88,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__018,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__018.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__018.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__018.json,event,"ior_rouh,ior_rouc",525.664,538.664,1282.3,778,45,True,soccer_match,2-1,88',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""2-1"",
  ""visible_clock"": ""88'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__019,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__019.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__019.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__019.json,event,"ior_reh,ior_rec",547.488,560.488,1294.88,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__020,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__020.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__020.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__020.json,event,"ior_rouh,ior_rouc",571.727,584.727,1276.61,778,44,True,football_match,2-1,85',0.92,,"{
  ""scene_type"": ""football_match"",
  ""visible_score"": ""2-1"",
  ""visible_clock"": ""85'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__021,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__021.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__021.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__021.json,event,"ior_reh,ior_rec",597.108,610.108,1283.7,778,45,True,soccer_match,0-0,65',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""65'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__022,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__022.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__022.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__022.json,event,"ior_rouh,ior_rouc",628.926,641.926,1284.37,778,45,True,soccer_match,2-1,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""2-1"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__023,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__023.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__023.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__023.json,event,"ior_reh,ior_rec",660.097,673.097,1298.46,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__024,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__024.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__024.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__024.json,event,"ior_rouh,ior_rouc",681.631,694.631,1295.8,778,45,True,soccer_match,0-0,75',0.85,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.85
}"
